Index,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
0,Accident,Unfall,Baleset,Unfall,Baleset,accident,baleset,Accident,Unfall
1,Actual Delay,Momentane Verspätung,Tényleges késés,Tatsächliche Verzögerung,Tényleges késleltetés,Momentary delay,Pillanatnyi késés,Actual delay,Tatsächliche Verzögerung
2,Ad hoc,Ad hoc,Azonnali,Ad hoc,Ad hoc,ad hoc,Ad hoc,Immediate,Augenblick
3,Adhesion,Haftung,Tapadás,Adhäsion,Tapadás,liability,felelősség,Adhesion,Haftung
4,Agreement on further procedure,Zustimmung für weiteren Ablauf,Megállapodás a további lépésekről,Einigung über weiteres Vorgehen,Megállapodás a további eljárásról,Approval for further process,A további folyamatok jóváhagyása,Agreement on further steps,Einigung über weitere Schritte
5,Allocation track,Gleis-Zuordnung,Kijelölt vágány,Zuweisungsgleis,Allokációs pálya,Track assignment,Pálya hozzárendelés,Selected track,Ausgewählter Titel
6,All trains,alle Züge,Összes vonat,Alle Züge,Minden vonat,all trains,minden vonat,Total trains,Züge gesamt
7,Alternative route,Umleitungsstrecke,Kerülő útvonal,Alternative Route,Alternatív útvonal,detour route,elkerülő útvonalat,Bypass route,Route umgehen
8,Applicant,Eisenbahnunternehmen,Kérelmező,Antragsteller,Pályázó,Railways,vasúti,applicant,Antragsteller
9,Arrival,Ankunft,Érkezés,Ankunft,Érkezés,Arrivals,érkezés,Arrival,Ankunft
10,Arrival announcement,Ankunfts-Ankündigung,Értesítés érkezésről,Ankündigung der Ankunft,Érkezés bejelentése,Arrival announcement,érkezés bejelentése,Arrival Notification,Ankunftsbenachrichtigung
11,Authorisation,"Genehmigung, Befugnis",Engedélyezés,Genehmigung,meghatalmazás,"Authorization, authority","Engedélyezés, hatóság",licensing,Zulassung
12,Authorisation for a track closure,Befugnis für eine Gleissperre,Vágányzár engedélyezése,Genehmigung für eine Streckenschließung,A pálya bezárásának engedélyezése,Authorization for a track lock,A sávzár engedélyezése,Enable track lock,Aktivieren Sie die Track-Sperre
13,Automatic warning system,Automatisches Warnsystem,EÉVB,Automatisches Warnsystem,Automatikus figyelmeztető rendszer,Automatic warning system,Automatikus figyelmeztető rendszer,EÉVB,EÉVB
14,Axle counter,Achszähler,Tengelyszámláló,Achszähler,Tengely számláló,axle counters,tengelyszámlálókkal,axle Counter,Achszähler
15,Axle load,Achslast,Tengelyterhelés,Achslast,Tengelyterhelés,axle load,tengelyterhelés,axle load,Achslast
16,Axlebox,Achslager,Tengelycsapágy,Achsbox,tengelyágy,Achslager,Achslager,shaft Bearing,Wellenlager
17,Block,Block,Térköz,Block,Blokk,block,tömb,interval,Intervall
18,Block System,Blocksystem,Térközbiztosító berendezés,Block System,Blokkrendszer,block system,blokk-rendszer,Interlocking device,Verriegelungsvorrichtung
19,Block section,Blockabschnitt,Térközszakasz,Blockabschnitt,Blokk szakasz,block section,blokkszakaszt,Spacing Section,Abstand Abschnitt
20,Block signal,Blocksignal,Térközjelző,Signal sperren,Blokk jel,block signal,blokk jel,Spacing Indicator,Abstand Indicator
21,Border Station,Grenzbahnhof,Határállomás,Grenzstation,Határállomás,border station,határátkelő,frontier station,Grenzstation
22,Border station affected,Betroffener Grenzübergang,Határállomási érintettség,Grenzstation betroffen,Az érintett határállomás,Affected border crossing,Érintett határátkelőhely,Boundary involvement,Grenzbeteiligung
